id,Name,Sex,Accuracy
171,Fake (Female),Female,33.33333333
56,Fake (Female),Female,66.66666667
177,Fake (Female),Female,36
37,Fake (Female),Female,40.74074074
77,Fake (Female),Female,57.14285714
94,Fake (Female),Female,20
145,Fake (Female),Female,50
178,Fake (Female),Female,63.33333333
35,Fake (Female),Female,22.22222222
57,Fake (Female),Female,45.83333333
170,Fake (Female),Female,82.35294118
179,Fake (Female),Female,23.33333333
36,Fake (Female),Female,53.33333333
180,Fake (Female),Female,30
53,Fake (Female),Female,13.79310345
38,Fake (Female),Female,26.66666667
21,Fake (Female),Female,27.77777778
140,Fake (Female),Female,30
137,Fake (Female),Female,33.33333333
144,Fake (Female),Female,90
176,Fake (Female),Female,26.66666667
19,Fake (Female),Female,80.76923077
115,Fake (Female),Female,90
76,Fake (Female),Female,64.28571429
54,Fake (Female),Female,57.14285714
133,Fake (Female),Female,20
91,Fake (Female),Female,34.61538462
51,Fake (Female),Female,48.27586207
104,Fake (Female),Female,42.10526316
41,Fake (Female),Female,42.30769231
59,Fake (Female),Female,44.82758621
40,Fake (Female),Female,47.82608696
185,Fake (Female),Female,33.33333333
169,Fake (Female),Female,33.33333333
111,Fake (Female),Female,68.96551724
184,Fake (Female),Female,61.9047619
64,Fake (Female),Female,75
65,Fake (Female),Female,60
166,Fake (Female),Female,50
34,Fake (Female),Female,70
92,Fake (Female),Female,90.90909091
109,Fake (Female),Female,26.66666667
62,Fake (Male),Female,40
14,Fake (Male),Female,69.23076923
100,Fake (Male),Female,60
155,Fake (Male),Female,41.37931034
30,Fake (Male),Female,81.81818182
131,Fake (Male),Female,40
29,Fake (Male),Female,63.63636364
28,Fake (Male),Female,21.73913043
152,Fake (Male),Female,44.82758621
49,Fake (Male),Female,78.26086957
102,Fake (Male),Female,56.66666667
160,Fake (Male),Female,63.63636364
50,Fake (Male),Female,59.25925926
11,Fake (Male),Female,89.47368421
22,Fake (Male),Female,96.15384615
157,Fake (Male),Female,38.46153846
13,Fake (Male),Female,52
43,Fake (Male),Female,79.31034483
14,Fake (Male),Female,63.15789474
11,Fake (Male),Female,50
38,Fake (Male),Female,47.82608696
41,Fake (Male),Female,80.95238095
42,Fake (Male),Female,52
26,Fake (Male),Female,33.33333333
68,Fake (Male),Female,45.83333333
51,Fake (Male),Female,31.03448276
71,Fake (Male),Female,26.66666667
24,Fake (Male),Female,40
44,Fake (Male),Female,39.28571429
21,Fake (Male),Female,50
4,Fake (Male),Female,61.11111111
53,Fake (Male),Female,81.25
40,Fake (Male),Female,28.57142857
119,Own name,Female,20
47,Own name,Female,47.36842105
29,Own name,Female,47.36842105
63,Own name,Female,63.15789474
46,Own name,Female,29.62962963
48,Own name,Female,26.66666667
80,Own name,Female,81.25
7,Own name,Female,42.10526316
31,Own name,Female,34.7826087
47,Own name,Female,23.33333333
46,Own name,Female,34.7826087
66,Own name,Female,75
148,Own name,Female,24.13793103
6,Own name,Female,65.2173913
27,Own name,Female,33.33333333
16,Own name,Female,43.75
149,Own name,Female,52.94117647
25,Own name,Female,61.11111111
30,Own name,Female,36.66666667
49,Own name,Female,51.72413793
35,Own name,Female,43.33333333
61,Own name,Female,83.33333333
129,Own name,Female,34.7826087
62,Own name,Female,83.33333333
18,Own name,Female,65.51724138
18,Own name,Female,40
27,Own name,Female,41.66666667
72,Own name,Female,40
23,Own name,Female,32
36,Own name,Female,10
83,Own name,Female,43.47826087
24,Own name,Female,40
33,Own name,Female,44
65,Own name,Female,25
120,Own name,Female,26.92307692
113,Fake (Female),Male,53.33333333
95,Fake (Female),Male,46.66666667
99,Fake (Female),Male,86.66666667
116,Fake (Female),Male,90
114,Fake (Female),Male,40
139,Fake (Female),Male,56.66666667
173,Fake (Female),Male,70
39,Fake (Female),Male,75.86206897
146,Fake (Female),Male,80
78,Fake (Female),Male,40.74074074
97,Fake (Female),Male,50
167,Fake (Female),Male,53.84615385
108,Fake (Female),Male,77.27272727
52,Fake (Female),Male,87.5
33,Fake (Female),Male,69.23076923
112,Fake (Female),Male,69.23076923
32,Fake (Female),Male,61.53846154
43,Fake (Female),Male,66.66666667
58,Fake (Female),Male,85
67,Fake (Female),Male,56.52173913
70,Fake (Female),Male,50
183,Fake (Female),Male,56.66666667
182,Fake (Female),Male,73.33333333
168,Fake (Female),Male,26.66666667
63,Fake (Male),Male,95.23809524
156,Fake (Male),Male,26.66666667
103,Fake (Male),Male,30.76923077
31,Fake (Male),Male,63.15789474
101,Fake (Male),Male,86.20689655
130,Fake (Male),Male,84.21052632
163,Fake (Male),Male,93.33333333
12,Fake (Male),Male,86.66666667
10,Fake (Male),Male,25
153,Fake (Male),Male,66.66666667
86,Fake (Male),Male,34.48275862
54,Fake (Male),Male,40
39,Fake (Male),Male,73.33333333
60,Fake (Male),Male,46.42857143
5,Fake (Male),Male,21.73913043
67,Fake (Male),Male,60
20,Fake (Male),Male,16.66666667
3,Fake (Male),Male,72.22222222
56,Fake (Male),Male,47.82608696
70,Fake (Male),Male,43.33333333
72,Fake (Male),Male,43.33333333
19,Fake (Male),Male,84.61538462
13,Fake (Male),Male,60
59,Fake (Male),Male,46.66666667
58,Fake (Male),Male,57.14285714
37,Own name,Male,72
188,Own name,Male,70.37037037
26,Own name,Male,81.48148148
187,Own name,Male,57.14285714
15,Own name,Male,33.33333333
151,Own name,Male,57.14285714
128,Own name,Male,62.96296296
64,Own name,Male,26.66666667
50,Own name,Male,82.60869565
32,Own name,Male,53.84615385
9,Own name,Male,86.20689655
17,Own name,Male,50
28,Own name,Male,57.14285714
45,Own name,Male,65.2173913
34,Own name,Male,86.66666667
186,Own name,Male,73.33333333
60,Own name,Male,64
71,Own name,Male,73.33333333
45,Own name,Male,26.92307692
10,Own name,Male,57.14285714
79,Own name,Male,46.66666667
73,Own name,Male,36.84210526
189,Own name,Male,80
