<!DOCTYPE tei.2  SYSTEM "c:\sgml\dtd\tei2.dtd" [
	<!ENTITY % TEI.corpus "INCLUDE">
	<!ENTITY % TEI.extensions.ent SYSTEM "sejong1.ent">
	<!ENTITY % TEI.extensions.dtd SYSTEM "sejong1.dtd"> ]>
<tei.2>
	<teiHeader>
		<fileDesc>
			<titleStmt>
				<title>동아일보 사설</title>
				<author>동아일보 편집부</author>
				<sponsor>국립국어원</sponsor>
				<respStmt>
					<resp>문헌입력, 표준화, 형태의미 정보 부착</resp>
					<name>고려대학교 민족문화연구원</name>
				</respStmt>
			</titleStmt>
			<extent>3320</extent>
			<publicationStmt>
				<distributor>국립국어원</distributor>
				<idno>BSAB0175, 형태분석: BTAB0175, 원본: BRAB0175</idno>
				<availability><p>배포 불가</p></availability>
			</publicationStmt>
			<notesStmt>
				<note><p>21세기 세종계획 형태분석말뭉치에서 선정</p></note>
			</notesStmt>
			<sourceDesc>
				<bibl>
					<author>동아일보 편집부</author>
					<title>동아일보 사설</title>
					<pubPlace>서울</pubPlace>
					<publisher>동아일보사</publisher>
					<date>1992</date>
				</bibl>
			</sourceDesc>
		</fileDesc>
		<encodingDesc>
			<projectDesc><p>21세기 세종계획 형태의미분석  말뭉치 구축 및 정제</p></projectDesc>
			<samplingDecl><p>21세기 세종계획 형태의미분석 말뭉치 파일 구축, 오류 수정 및 일관성 검사</p></samplingDecl>
			<editorialDecl><p>21세기 세종계획 원시 말뭉치 구축 지침(2004-1), 형태분석 말뭉치 구축지침(2005-1), 형태의미분석 말뭉치 구축 지침(2004-1)에 따른 오류 수정 및 일관성 검사</p></editorialDecl>
		</encodingDesc>
		<profileDesc>
			<creation>
				<date>2003</date>
			</creation>
			<langUsage>
				<language id=KO usage=99>한국어, 표준어</language>
			</langUsage>
			<textClass>
				<catRef scheme='SJ21' target='M1118'</catRef>
			</textClass>
		</profileDesc>
		<revisionDesc>
			<respStmt>
				<resp>프로젝트 책임자</resp>
				<name>김흥규</name>
			</respStmt>
			<change>
				<date>2007</date>
				<respStmt>
					<resp>연구책임자</resp>
					<name>김흥규</name>
					<resp>연구원</resp>
					<name>강범모, 홍정하</name>
					<resp>연구보조원</resp>
					<name>김민지, 김보라, 김승우, 김윤희, 김주영, 여형옥, 왕정미, 정연주, 최민우, 허영진</name>
				</respStmt>
				<item>21세기 세종계획 원시 말뭉치 구축 지침(2004-1), 형태분석 말뭉치 구축지침(2005-1), 형태의미분석 말뭉치 구축 지침(2004-1)에 따른 형태의미 정보 부착</item>
			</change>
		</revisionDesc>
	</teiHeader>

<text>
<body>
<p>
9BSAB0175-0000010	14일	14/SN + 일/NNB
9BSAB0175-0000020	강경대군의	강경대군/NNP + 의/JKG
9BSAB0175-0000030	장례	장례__02/NNG
9BSAB0175-0000040	행렬을	행렬/NNG + 을/JKO
9BSAB0175-0000050	보는	보__01/VV + 는/ETM
9BSAB0175-0000060	많은	많/VA + 은/ETM
9BSAB0175-0000070	국민들의	국민/NNG + 들/XSN + 의/JKG
9BSAB0175-0000080	마음은	마음__01/NNG + 은/JX
9BSAB0175-0000090	절망과	절망__02/NNG + 과/JC
9BSAB0175-0000100	좌절의	좌절/NNG + 의/JKG
9BSAB0175-0000110	심연에	심연/NNG + 에/JKB
9BSAB0175-0000120	빠져	빠지__02/VV + 어/EC
9BSAB0175-0000130	들었을	들/VX + 었/EP + 을/ETM
9BSAB0175-0000140	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
9BSAB0175-0000150	한	한/MM
9BSAB0175-0000160	꽃다운	꽃__01/NNG + 답/XSA + ㄴ/ETM
9BSAB0175-0000170	젊은이의	젊은이/NNG + 의/JKG
9BSAB0175-0000180	죽음이	죽음__01/NNG + 이/JKS
9BSAB0175-0000190	이런	이런/MM
9BSAB0175-0000200	모습으로	모습__01/NNG + 으로/JKB
9BSAB0175-0000210	밀고	밀__01/VV + 고/EC
9BSAB0175-0000220	밀리는	밀리__02/VV + 는/ETM
9BSAB0175-0000230	아수라장을	아수라장/NNG + 을/JKO
9BSAB0175-0000240	이루어야	이루__01/VV + 어야/EC
9BSAB0175-0000250	하는가.	하/VX + 는가/EF + ./SF
9BSAB0175-0000260	죽음이란	죽음__01/NNG + 이란/JX
9BSAB0175-0000270	항시	항시/MAG
9BSAB0175-0000280	슬프고	슬프/VA + 고/EC
9BSAB0175-0000290	장엄하며	장엄__01/NNG + 하/XSA + 며/EC
9BSAB0175-0000300	산	살__01/VV + ㄴ/ETM
9BSAB0175-0000310	사람들의	사람/NNG + 들/XSN + 의/JKG
9BSAB0175-0000320	마음	마음__01/NNG
9BSAB0175-0000330	속에	속__01/NNG + 에/JKB
9BSAB0175-0000340	회억과	회억/NNG + 과/JC
9BSAB0175-0000350	감동으로	감동__02/NNG + 으로/JKB
9BSAB0175-0000360	살아	살__01/VV + 아/EC
9BSAB0175-0000370	남게	남/VV + 게/EC
9BSAB0175-0000380	하는	하/VX + 는/ETM
9BSAB0175-0000390	것이	것/NNB + 이/JKS
9BSAB0175-0000400	동서간의	동서__04/NNG + 간__10/NNB + 의/JKG
9BSAB0175-0000410	관습이요,	관습/NNG + 이/VCP + 요/EC + ,/SP
9BSAB0175-0000420	의례이다.	의례__04/NNG + 이/VCP + 다/EF + ./SF
9BSAB0175-0000430	10만의	10/SN + 만/NR + 의/JKG
9BSAB0175-0000440	인파와	인파/NNG + 와/JC
9BSAB0175-0000450	수	수/MM
9BSAB0175-0000460	많은	많/VA + 은/ETM
9BSAB0175-0000470	만장과	만장__07/NNG + 과/JC
9BSAB0175-0000480	구호가	구호__02/NNG + 가/JKS
9BSAB0175-0000490	물결	물결/NNG
